x,y
-1.251386514372496706e-01,-1.224709371385972884e-01
-1.233457881000221690e-01,-1.178017461506273428e-01
-1.215529247627946813e-01,-1.131325551626573972e-01
-1.197600614255671936e-01,-1.084633641746874377e-01
-1.179671980883397059e-01,-1.037941731867174922e-01
-1.161743347511122043e-01,-9.912498219874754657e-02
-1.143814714138847166e-01,-9.445579121077760099e-02
-1.125886080766572150e-01,-8.978660022280765540e-02
-1.107957447394297412e-01,-8.511740923483770982e-02
-1.090028814022022396e-01,-8.044821824686775036e-02
-1.072100180649747520e-01,-7.577902725889781865e-02
-1.054171547277472643e-01,-7.110983627092784531e-02
-1.036242913905197627e-01,-6.644064528295789973e-02
-1.018314280532922750e-01,-6.177145429498796109e-02
-1.000385647160647873e-01,-5.710226330701802938e-02
-9.824570137883728571e-02,-5.243307231904807686e-02
-9.645283804160981189e-02,-4.776388133107813128e-02
-9.465997470438231032e-02,-4.309469034310817875e-02
-9.286711136715480874e-02,-3.842549935513822623e-02
-9.107424802992733492e-02,-3.375630836716828759e-02
-8.928138469269983335e-02,-2.908711737919833507e-02
-8.748852135547233178e-02,-2.441792639122838601e-02
-8.569565801824485796e-02,-1.974873540325843349e-02
-8.390279468101737026e-02,-1.507954441528848444e-02
-8.210993134378986869e-02,-1.041035342731853192e-02
-8.031706800656238099e-02,-5.741162439348595006e-03
-7.852420466933487941e-02,-1.071971451378631642e-03
-7.673134133210739172e-02,3.597219536591305701e-03
-7.493847799487990402e-02,8.266410524561233070e-03
-7.314561465765241632e-02,1.293560151253120120e-02
-7.135275132042492863e-02,1.760479250050114158e-02
-6.955988798319742705e-02,2.227398348847109411e-02
-6.776702464596993936e-02,2.694317447644102234e-02
-6.597416130874246554e-02,3.161236546441097139e-02
-6.418129797151496396e-02,3.628155645238093086e-02
-6.238843463428746933e-02,4.095074744035086256e-02
-6.059557129705998163e-02,4.561993842832084284e-02
-5.880270795983249393e-02,5.028912941629076760e-02
-5.700984462260499930e-02,5.495832040426070625e-02
-5.521698128537749772e-02,5.962751139223067959e-02
-5.342411794815001003e-02,6.429670238020063211e-02
-5.163125461092252233e-02,6.896589336817057769e-02
-4.983839127369503463e-02,7.363508435614052328e-02
-4.804552793646754694e-02,7.830427534411048274e-02
-4.625266459924004536e-02,8.297346633208044220e-02
-4.445980126201255767e-02,8.764265732005037390e-02
-4.266693792478505609e-02,9.231184830802031949e-02
-4.087407458755757533e-02,9.698103929599026507e-02
-3.908121125033008070e-02,1.016502302839602245e-01
-3.728834791310258606e-02,1.063194212719301562e-01
-3.549548457587509837e-02,1.109886122599000879e-01
-3.370262123864761761e-02,1.156578032478700613e-01
-3.190975790142011603e-02,1.203269942358400346e-01
-3.011689456419263181e-02,1.249961852238099247e-01
-2.832403122696513370e-02,1.296653762117798980e-01
-2.653116788973763560e-02,1.343345671997498436e-01
-2.473830455251016178e-02,1.390037581877197614e-01
-2.294544121528267408e-02,1.436729491756897070e-01
-2.115257787805518291e-02,1.483421401636596526e-01
-1.935971454082769522e-02,1.530113311516295704e-01
-1.756685120360022834e-02,1.576805221395995160e-01
-1.577398786637273023e-02,1.623497131275694616e-01
-1.398112452914521478e-02,1.670189041155394072e-01
-1.218826119191776004e-02,1.716880951035093250e-01
-1.039539785469026367e-02,1.763572860914792706e-01
-6.199082469858540820e-03,1.775290628614026311e-01
-1.197512373567441923e-03,1.775290628614026311e-01
3.804057722723743710e-03,1.775290628614026311e-01
8.805627819015031041e-03,1.775290628614026311e-01
1.380719791530629625e-02,1.775290628614026311e-01
1.880876801159750422e-02,1.775290628614026311e-01
2.381033810788879546e-02,1.775290628614026311e-01
2.881190820418005200e-02,1.775290628614026311e-01
3.319516384354738447e-02,1.766078853673591631e-01
3.508974877223585559e-02,1.719790354695874823e-01
3.698433370092433364e-02,1.673501855718158016e-01
3.887891862961279088e-02,1.627213356740441208e-01
4.077350355830126893e-02,1.580924857762724678e-01
4.266808848698974699e-02,1.534636358785007593e-01
4.456267341567823198e-02,1.488347859807290785e-01
4.645725834436668922e-02,1.442059360829574532e-01
4.835184327305515339e-02,1.395770861851857725e-01
5.024642820174361757e-02,1.349482362874140640e-01
5.214101313043208868e-02,1.303193863896424110e-01
5.403559805912058756e-02,1.256905364918707579e-01
5.593018298780906561e-02,1.210616865940990911e-01
5.782476791649751591e-02,1.164328366963274519e-01
5.971935284518598008e-02,1.118039867985557850e-01
6.161393777387445814e-02,1.071751369007841181e-01
6.350852270256293619e-02,1.025462870030124374e-01
6.540310763125138649e-02,9.791743710524078437e-02
6.729769255993986454e-02,9.328858720746913136e-02
6.919227748862831484e-02,8.865973730969745059e-02
7.108686241731676514e-02,8.403088741192582534e-02
7.298144734600524319e-02,7.940203751415413069e-02
7.487603227469372125e-02,7.477318761638244993e-02
7.677061720338218542e-02,7.014433771861075528e-02
7.866520213207064960e-02,6.551548782083913003e-02
8.055978706075912765e-02,6.088663792306744926e-02
8.245437198944760571e-02,5.625778802529574768e-02
8.434895691813606988e-02,5.162893812752410161e-02
8.624354184682456181e-02,4.700008822975239309e-02
8.813812677551302599e-02,4.237123833198071926e-02
9.003271170420149017e-02,3.774238843420906625e-02
9.192729663288995434e-02,3.311353853643741324e-02
9.382188156157836301e-02,2.848468863866586778e-02
9.571646649026682718e-02,2.385583874089421824e-02
9.761105141895529136e-02,1.922698884312256523e-02
9.950563634764375553e-02,1.459813894535091743e-02
