x,y
0.000000000000000000e+00,0.000000000000000000e+00
4.545454545454545234e-03,1.363636363636363570e-02
9.090909090909090468e-03,2.727272727272727140e-02
1.363636363636363744e-02,4.090909090909091578e-02
1.818181818181818094e-02,5.454545454545454281e-02
2.272727272727272443e-02,6.818181818181817677e-02
2.727272727272727487e-02,8.181818181818183155e-02
3.181818181818181490e-02,9.545454545454544470e-02
3.636363636363636187e-02,1.090909090909090856e-01
4.090909090909090884e-02,1.227272727272727265e-01
4.545454545454544887e-02,1.363636363636363535e-01
4.999999999999999584e-02,1.499999999999999944e-01
5.454545454545454974e-02,1.636363636363636631e-01
5.909090909090908977e-02,1.772727272727272763e-01
6.363636363636362980e-02,1.909090909090908894e-01
6.818181818181817677e-02,2.045454545454545303e-01
7.272727272727272374e-02,2.181818181818181712e-01
7.727272727272727071e-02,2.318181818181818121e-01
8.181818181818181768e-02,2.454545454545454530e-01
8.636363636363635077e-02,2.590909090909090939e-01
9.090909090909089774e-02,2.727272727272727071e-01
9.545454545454544470e-02,2.863636363636363757e-01
9.999999999999999167e-02,2.999999999999999889e-01
nan,nan
1.999999999999999833e-01,0.000000000000000000e+00
1.954545454545454364e-01,1.363636363636363570e-02
1.909090909090908894e-01,2.727272727272727140e-02
1.863636363636363424e-01,4.090909090909091578e-02
1.818181818181817955e-01,5.454545454545454281e-02
1.772727272727272763e-01,6.818181818181817677e-02
1.727272727272727293e-01,8.181818181818183155e-02
1.681818181818181546e-01,9.545454545454544470e-02
1.636363636363636354e-01,1.090909090909090856e-01
1.590909090909090606e-01,1.227272727272727265e-01
1.545454545454545137e-01,1.363636363636363535e-01
1.499999999999999944e-01,1.499999999999999944e-01
1.454545454545454475e-01,1.636363636363636631e-01
1.409090909090909005e-01,1.772727272727272763e-01
1.363636363636363535e-01,1.909090909090908894e-01
1.318181818181818343e-01,2.045454545454545303e-01
1.272727272727272596e-01,2.181818181818181712e-01
1.227272727272727265e-01,2.318181818181818121e-01
1.181818181818181657e-01,2.454545454545454530e-01
1.136363636363636187e-01,2.590909090909090939e-01
1.090909090909090856e-01,2.727272727272727071e-01
1.045454545454545248e-01,2.863636363636363757e-01
9.999999999999999167e-02,2.999999999999999889e-01
nan,nan
4.999999999999999584e-02,1.499999999999999944e-01
6.666666666666666574e-02,1.499999999999999944e-01
8.333333333333332871e-02,1.499999999999999944e-01
9.999999999999999167e-02,1.499999999999999944e-01
1.166666666666666546e-01,1.499999999999999944e-01
1.333333333333333315e-01,1.499999999999999944e-01
1.499999999999999944e-01,1.499999999999999944e-01
nan,nan
2.749999999999999667e-01,2.999999999999999889e-01
2.749999999999999667e-01,2.861111111111110938e-01
2.749999999999999667e-01,2.722222222222221988e-01
2.749999999999999667e-01,2.583333333333333037e-01
2.749999999999999667e-01,2.444444444444444364e-01
2.749999999999999667e-01,2.305555555555555414e-01
2.749999999999999667e-01,2.166666666666666741e-01
2.749999999999999667e-01,2.027777777777777790e-01
2.749999999999999667e-01,1.888888888888888840e-01
2.749999999999999667e-01,1.749999999999999889e-01
2.749999999999999667e-01,1.611111111111110938e-01
2.749999999999999667e-01,1.472222222222222265e-01
2.749999999999999667e-01,1.333333333333333315e-01
2.749999999999999667e-01,1.194444444444444364e-01
2.749999999999999667e-01,1.055555555555555691e-01
2.749999999999999667e-01,9.166666666666667407e-02
2.749999999999999667e-01,7.777777777777777901e-02
2.749999999999999667e-01,6.388888888888888395e-02
2.749999999999999667e-01,4.999999999999999584e-02
